x,y,code,name,name_full
9.347956,0.8777887,B41J2,Typewriters or selective printing mechanisms ch...,"Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed  (mounting, arrangement or disposition of types or dies B41J"
15.279789,1.2479692,E05B13,Devices preventing the key or the handle or bot...,"Devices preventing the key or the handle or both from being used[1,2006.01]IPC (2023.01), Section E 1E05B"
13.409538,4.097299,G06F111,Details relating to CAD techniques [2020.01],Details relating to CAD techniques [2020.01]
3.7272465,-1.736537,C07C319,"Preparation of thiols, sulfides, hydropolysulfi...","Preparation of thiols, sulfides, hydropolysulfides or polysulfides[5,2006.01]"
11.347028,4.150555,A63B24,Electric or electronic controls for exercising ...,Electric or electronic controls for exercising apparatus of groups A63B
14.134533,5.760086,H04R3,Circuits for transducers  (arrangements for pro...,Circuits for transducers  (arrangements for producing areverberation or echo sound G10K
12.258975,1.8827087,H01J27,Ion beam tubes (H01J,Ion beam tubes (H01J
15.300734,1.227038,E05C3,Fastening devices with bolts moving pivotally o...,Fastening devices with bolts moving pivotally or rotatively (devices released automatically by pull or pressure on the wing E05C
5.9532676,-3.1563087,C05G3,Mixtures of one or more fertilisers with additi...,"Mixtures of one or more fertilisers with additives not having a specifically fertilising activity[1,2006.01,2020.01]"
-0.6398226,6.097445,C10N40,Specified use or application for which the lubr...,"Specified use or application for which the lubricatingcomposition is intended [4,2006.01]"
4.331687,2.9616988,D21H19,Coated paper (coated fibreboard D21J,Coated paper (coated fibreboard D21J
10.1405115,2.5695465,B65G41,Supporting frames or bases for conveyors as a w...,"Supporting frames or bases for conveyors as a whole,e.g. transportable conveyor frames [1,2006.01]"
9.95185,1.9195535,A61J3,Devices or methods specially adapted for bringi...,"Devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms (chemical aspects, see the relevantclasses)[1,2006.01]"
