x,y,code,name
12.259954,3.04076,F16D63,Placeholder
13.2602415,4.1578026,E05B19,Placeholder
4.8230515,1.9839461,C01B25,Placeholder
7.8984222,4.564695,B65H31,Placeholder
2.321746,1.2064549,C10M135,Placeholder
3.3724868,5.3071733,A23L23,Placeholder
8.965607,4.992999,A41D1,Placeholder
6.876574,2.5256236,B23K10,Placeholder
8.995045,7.697323,G03B13,Placeholder
10.115564,5.4833317,A63B102,Placeholder
8.474626,4.379299,B65B57,Placeholder
6.641623,5.068826,B65H51,Placeholder
8.859707,3.7891884,A01K1,Placeholder
10.376349,4.211478,A47B91,Placeholder
11.182614,2.640173,B64C27,Placeholder
11.275177,8.63656,H04L25,Placeholder
9.865619,8.474507,H04S1,Placeholder
11.035424,8.967413,H04W92,Placeholder
7.6118402,4.6170297,B65H19,Placeholder
7.728559,6.038872,G01N15,Placeholder
12.513223,7.8430696,H02M1,Placeholder
13.744659,5.966632,H02K11,Placeholder
8.028829,-1.3777388,F25B49,Placeholder
7.4739017,8.842454,F21Y103,Placeholder
10.0277605,0.23139681,F02M63,Placeholder
11.156827,4.5359206,B62B3,Placeholder
7.5444593,5.8180833,C12M1,Placeholder
10.327749,2.2276726,E21B29,Placeholder
11.565377,8.126235,H04B3,Placeholder
9.310626,6.674405,G10K9,Placeholder
8.001457,-1.3719145,F25B31,Placeholder
9.05581,3.1252441,B26D3,Placeholder
3.532715,3.0702066,C08L59,Placeholder
7.8770456,6.5434837,H01C17,Placeholder
3.4720194,3.4174573,C08G73,Placeholder
8.826759,7.337687,G09F19,Placeholder
4.5655856,3.8828902,C08B11,Placeholder
8.055774,5.656212,A61C19,Placeholder
9.65364,0.34346607,F01M13,Placeholder
5.7713594,4.522367,D01D1,Placeholder
9.875599,0.9127898,F04D1,Placeholder
1.3232024,4.606569,C07D409,Placeholder
10.095118,0.5210365,F01M5,Placeholder
2.7569754,6.1771183,A01H1,Placeholder
6.8358436,1.2217121,B01J3,Placeholder
0.94758755,4.849859,C07D513,Placeholder
8.585651,0.14956331,F01N9,Placeholder
5.5261126,2.3431616,C22C5,Placeholder
6.2427077,3.96148,B44C5,Placeholder
7.6204963,5.805436,B01L9,Placeholder
9.273081,5.0063415,A47G9,Placeholder
1.5727664,5.38597,A61K45,Placeholder
1.1049283,4.8449774,C07D215,Placeholder
11.456127,4.7640486,B66F9,Placeholder
10.408512,8.368956,H03G3,Placeholder
10.931576,7.2061286,G08C17,Placeholder
10.796753,6.7866883,G05B9,Placeholder
1.8311058,5.3197136,A61K33,Placeholder
11.994271,8.42443,H03K19,Placeholder
1.8617337,5.670289,C07K2,Placeholder
3.1808798,2.6681433,C08L45,Placeholder
12.766409,6.507543,H01H33,Placeholder
6.5207295,4.9393253,B65H69,Placeholder
10.365713,8.35022,H03G7,Placeholder
5.499923,2.8124564,C04B41,Placeholder
8.048952,5.644122,A61C1,Placeholder
10.629271,0.8320112,F04B25,Placeholder
12.33798,7.0935416,B60L50,Placeholder
7.0748053,-0.17009205,H02N11,Placeholder
10.376225,7.6715403,G06N5,Placeholder
9.167387,7.637451,H04N9,Placeholder
10.709262,7.7461214,H04L9,Placeholder
10.563561,8.268824,H03H17,Placeholder
