x,y,code,name,name_full
10.549758,7.0626197,B60K17,Arrangement or mounting of transmissions in veh...,Arrangement or mounting of transmissions in vehicles (torque-transmitting axles B60B
6.1875935,3.1927366,B29C31,"Handling, e.g. feeding of the material to be sh...","Handling, e.g. feeding of the material to be shaped[4,2006.01]"
12.618308,2.8485765,G01J3,Spectrometry; Spectrophotometry; Monochromators...,"Spectrometry; Spectrophotometry; Monochromators; Measuring colours [1,4,2006.01]"
3.0239856,1.66251,C09D4,"Coating compositions, e.g. paints, varnishes or...","Coating compositions, e.g. paints, varnishes or lacquers, based on organic non-macromolecular compounds having at least one polymerisable carbon-to-carbon unsaturated bond [5,2006.01]"
10.953572,8.414045,H02K21,Synchronous motors having permanent magnets; Sy...,"Synchronous motors having permanent magnets; Synchronous generators having permanent magnets[1,2006.01]"
6.9704924,7.0834494,F24F8,"Treatment, e.g. purification, of air supplied t...","Treatment, e.g. purification, of air supplied to humanliving or working spaces otherwise than by heating, cooling, humidifying or drying [2021.01]"
11.9409485,3.645095,A61N1,,
11.137481,2.206703,A61M3,"Medical syringes, e.g. enemata; Irrigators  (A61M","Medical syringes, e.g. enemata; Irrigators  (A61M"
4.950321,0.47552916,H01M12,Hybrid cells; Manufacture thereof  (hybrid capa...,Hybrid cells; Manufacture thereof  (hybrid capacitors H01G
10.636548,5.9510098,B62K23,Rider-operated controls specially adapted for c...,"Rider-operated controls specially adapted for cycles, i.e. means for initiating control operations, e.g. levers, grips (specially adapted to cycle brake mechanisms B62L"
12.065628,2.7873354,A61B8,"Diagnosis using ultrasonic, sonic or infrasonic...","Diagnosis using ultrasonic, sonic or infrasonic waves[4,2006.01]"
4.6725087,1.0010993,C01G23,"Compounds of titanium [1,2006.01]","Compounds of titanium [1,2006.01]"
5.026564,2.7040918,B44C1,,
13.485202,4.241583,G06F16,Information retrieval; Database structures ther...,Information retrieval; Database structures therefor; File system structures therefor [2019.01]
10.204284,4.7451806,B62D53,Tractor-trailer combinations; Road trains  (tra...,"Tractor-trailer combinations; Road trains  (traction couplings other than fifth-wheel couplings B60D)[1,2006.01]"
7.909661,4.8680167,E21B19,"Handling rods, casings, tubes or the like outsi...","Handling rods, casings, tubes or the like outside the borehole, e.g. in the derrick; Apparatus for feeding the rods or cables (surface drives E21B"
12.350533,5.850749,G01P15,Measuring acceleration; Measuring deceleration;...,"Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration[1,2006.01]"
12.419203,6.0774975,H02N1,,
5.0713925,0.43093258,H01M,,
10.789475,2.822597,A61M16,Devices for influencing the respiratory system ...,"Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes  (stimulating the respiratorymovement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H"
3.369328,-2.2914507,C07C229,Compounds containing amino and carboxyl groups ...,"Compounds containing amino and carboxyl groups bound to the same carbon skeleton [5,2006.01]"
12.529966,2.9448135,H01S5,Semiconductor lasers (superluminescent diodes H01L,Semiconductor lasers (superluminescent diodes H01L
13.035709,7.176568,H02J9,Circuit arrangements for emergency or stand-by ...,"Circuit arrangements for emergency or stand-by power supply, e.g. for emergency lighting [1,2006.01]"
12.295304,2.8365362,B82Y20,"Nanooptics, e.g. quantum optics or photonic cry...","Nanooptics, e.g. quantum optics or photonic crystals[2011.01]"
6.817608,0.6370402,B01J2,,
5.9254036,8.026259,F25B25,"Machines, plants or systems, using a combinatio...","Machines, plants or systems, using a combination of modes of operation covered by two or more of the groups F25B"
11.091501,6.1495066,B62D113,"Position of parts of the steering mechanism, e....","Position of parts of the steering mechanism, e.g. the steered wheels or the steering wheel [5,2006.01]"
2.9863274,2.006305,C09J175,Adhesives based on polyureas or polyurethanes; ...,"Adhesives based on polyureas or polyurethanes; Adhesives based on derivatives of such polymers[5,2006.01]"
-0.64038545,6.10196,C10N20,Specified physical properties of component of l...,"Specified physical properties of component of lubricating compositions [4,2006.01]"
5.6734023,-2.353922,A21D13,"Finished or partly finished bakery products[1,2...","Finished or partly finished bakery products[1,2006.01,2017.01]"
2.6472259,1.9679217,C08L29,Compositions of homopolymers or copolymers of c...,"Compositions of homopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by an alcohol, ether, aldehydo, ketonic, acetal, or ketal radical; Compositions of hydrolysed polymers of esters of unsaturated alcohols with saturated carboxylic acids; Compositions of derivatives of such polymers [2,2006.01]"
13.072571,7.249995,H02J1,For providing remote indication of network cond...,For providing remote indication of network conditions
2.7962189,1.719537,C08F214,Copolymers of compounds having one or more unsa...,"Copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by a halogen [2,2006.01]"
9.16616,8.007722,F16F13,Units comprising springs of the non-fluid type ...,"Units comprising springs of the non-fluid type as wellas vibration-dampers, shock-absorbers, or fluid springs (F16F"
12.853054,3.1246576,H04B10,Transmission systems employing electromagnetic ...,"Transmission systems employing electromagnetic waves other than radio-waves, e.g. infrared, visible or ultraviolet light,or employing corpuscular radiation, e.g. quantum communication[5,2006.01,2013.01]Note(s)    [2013.01]  In this group, non-optical transmission systems are classified in group H04B"
3.8503876,-3.0368218,A61Q7,Preparations for affecting hair growth [2006.01],Preparations for affecting hair growth [2006.01]
6.6670527,2.3338666,B23K31,"Processes relevant to this subclass, specially ...","Processes relevant to this subclass, specially adapted for particular articles or purposes, but not covered by any single one of main groups B23K"
8.075328,0.24411702,G01N1,Surface or boundary effects; characteristics of...,"Surface or boundary effects; characteristics of particles, permeability; friction, adhesive force"
13.060982,2.8693254,G03B17,Details of cameras or camera bodies; Accessorie...,Details of cameras or camera bodies; Accessories therefor (lens hoods or caps G03B
13.491089,3.7457523,H04N19,"Methods or arrangements for coding, decoding, c...","Methods or arrangements for coding, decoding, compressing or decompressing digital video signals[2014.01]"
3.6380327,-1.7817024,C07C265,"Derivatives of isocyanic acid [5,2006.01]","Derivatives of isocyanic acid [5,2006.01]"
9.433626,5.7075815,B62D37,Stabilising vehicle bodies without controlling ...,"Stabilising vehicle bodies without controlling suspension arrangements [1,2006.01]"
10.773061,5.278945,B64D25,"Emergency apparatus or devices, not otherwise p...","Emergency apparatus or devices, not otherwise provided for (parachutes B64D"
3.7518046,-1.6605988,C07C33,Unsaturated compounds having hydroxy or O-metal...,"Unsaturated compounds having hydroxy or O-metal groups bound to acyclic carbon atoms [1,2006.01]Note(s)    [3]  In this group, in condensed ring systems of six-membered aromatic rings and other rings, the double bond belonging to a benzene ring is not considered as unsaturated for the non-aromatic ring condensed thereon, e.g. the 1,2,3,4-tetrahydro- naphthalene ring is considered to be saturated outside the aromatic ring."
10.681319,4.207463,E01C23,Auxiliary devices or arrangements for construct...,"Auxiliary devices or arrangements for constructing, repairing, reconditioning, or taking-up road or like surfaces (apparatus for reconditioning of salvaged non-hydraulic compositions E01C"
14.784357,11.977793,F21V15,Protecting lighting devices from damage  (prote...,Protecting lighting devices from damage  (protection from thermal damage F21V
10.176354,4.75585,B62D49,Tractors (of walk type B62D,Tractors (of walk type B62D
9.268561,5.8697667,B63B1,,
13.1788435,7.0946164,G01R19,Arrangements for measuring currents or voltages...,Arrangements for measuring currents or voltages or for indicating presence or sign thereof  (G01R
13.261259,3.8488152,G06K9,,
13.436733,7.98614,F24S25,Arrangement of stationary mountings or supports...,Arrangement of stationary mountings or supports for solar heat collector modules [2018.01]Note(s)    [2018.01]  Arrangements also intended for use with photovoltaic modules should further be classified in the relevant groups of subclass H02S.
11.734726,4.675586,G05D1,takes precedence; numerical control to execute ...,takes precedence; numerical control to execute positioning G05B
5.960001,8.091662,F25B5,"Compression machines, plants or systems, with s...","Compression machines, plants or systems, with several evaporator circuits, e.g. for varying refrigerating capacity (with cascade operation F25B"
12.412305,2.326678,A61B6,"Apparatus for radiation diagnosis, e.g. combine...","Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment  (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T"
11.024368,4.470763,B25J21,Chambers provided with manipulation devices  (c...,Chambers provided with manipulation devices  (constructional features of the mounting of the manipulator in the wall B25J
12.960002,6.7450504,G01R1,"Manufacture; calibrating, testing","Manufacture; calibrating, testing"
3.19113,1.7034947,C09J183,Adhesives based on macromolecular compounds obt...,"Adhesives based on macromolecular compounds obtained by reactions forming in the main chain of the macromolecule a linkage containing silicon, with or without sulfur, nitrogen, oxygen, or carbon only; Adhesives based on derivatives of such polymers[5,2006.01]"
12.6133,3.9503486,G16H80,ICT specially adapted for facilitating communic...,"ICT specially adapted for facilitating communicationbetween medical practitioners or patients, e.g. for collaborative diagnosis, therapy or health monitoring[2018.01]2 IPC (2023.01), Section G"
10.738372,7.1498637,B60T13,or B60T,or B60T
12.15665,5.755334,G01M7,Vibration-testing of structures; Shock-testing ...,Vibration-testing of structures; Shock-testing of structures (G01M
2.7206917,-2.681411,C07D407,Heterocyclic compounds containing two or more h...,"Heterocyclic compounds containing two or more hetero rings, at least one ring having oxygen atoms as the only ring hetero atoms, not provided for by group C07D"
12.1083555,5.784146,G01B7,Measuring arrangements characterised by the use...,"Measuring arrangements characterised by the use of electric or magnetic techniques [1,2006.01]"
10.782768,5.878089,H01H25,Switches with compound movement of handle or ot...,"Switches with compound movement of handle or other operating part[1,2006.01]"
10.212341,2.4622808,B65G43,"Control devices, e.g. for safety, warning or fa...","Control devices, e.g. for safety, warning or fault-correcting[1,2006.01]"
13.686058,4.447092,G09C1,,
8.80573,4.890853,E04B9,"Ceilings; Construction of ceilings, e.g. false ...","Ceilings; Construction of ceilings, e.g. false ceilings; Ceiling construction with regard to insulation  (ceilings used as forms for making floors E04B"
