x,y,code,name,name_full
9.375358,0.84202605,B41J2,Typewriters or selective printing mechanisms ch...,"Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed  (mounting, arrangement or disposition of types or dies B41J"
13.413941,4.123218,G06F111,Details relating to CAD techniques [2020.01],Details relating to CAD techniques [2020.01]
3.4776933,-1.9141248,C07C319,"Preparation of thiols, sulfides, hydropolysulfi...","Preparation of thiols, sulfides, hydropolysulfides or polysulfides[5,2006.01]"
11.439833,4.116152,A63B24,Electric or electronic controls for exercising ...,Electric or electronic controls for exercising apparatus of groups A63B
14.111326,5.7372746,H04R3,Circuits for transducers  (arrangements for pro...,Circuits for transducers  (arrangements for producing areverberation or echo sound G10K
5.9608955,-3.1527188,C05G3,Mixtures of one or more fertilisers with additi...,"Mixtures of one or more fertilisers with additives not having a specifically fertilising activity[1,2006.01,2020.01]"
-0.61900496,6.0730734,C10N40,Specified use or application for which the lubr...,"Specified use or application for which the lubricatingcomposition is intended [4,2006.01]"
4.3925643,2.9527938,D21H19,Coated paper (coated fibreboard D21J,Coated paper (coated fibreboard D21J
10.047492,1.8776903,A61J3,Devices or methods specially adapted for bringi...,"Devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms (chemical aspects, see the relevantclasses)[1,2006.01]"
7.378774,5.5898128,H01R12,Structural associations of a plurality of mutua...,"Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCB], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures (printed connections to, or between, printed circuits H05K"
12.389517,4.005711,A61B7,"Instruments for auscultation [1,2006.01]","Instruments for auscultation [1,2006.01]"
14.937426,1.5176382,E05F5,"Braking devices, e.g. checks; Stops; Buffers  (...","Braking devices, e.g. checks; Stops; Buffers  (construction of pneumatic or liquid braking devices E05F"
3.3404737,2.227255,C08L81,Compositions of macromolecular compounds obtain...,"Compositions of macromolecular compounds obtained by reactions forming in the main chain of the macromolecule a linkage containing sulfur with or without nitrogen, oxygen, or carbon only; Compositions of polysulfones; Compositions of derivatives of such polymers [2,2006.01]"
4.0507226,3.2474954,D06M16,and indexed in group D06M,and indexed in group D06M
4.102086,2.9846416,D21B1,,
9.609968,4.0729485,H05K5,"Casings, cabinets or drawers for electric appar...","Casings, cabinets or drawers for electric apparatus[1,2006.01]"
1.9755936,2.231429,B60C1,"takes precedence)[1,2,2006.01]","takes precedence)[1,2,2006.01]"
10.67411,5.185034,B25J17,"Joints[1,2006.01]","Joints[1,2006.01]"
10.194939,4.489378,A61G3,Ambulance aspects of vehicles; Vehicles with sp...,"Ambulance aspects of vehicles; Vehicles with special provisions for transporting patients or disabled persons, or their personal conveyances, e.g. for facilitating access of, or for loading, wheelchairs[1,5,2006.01]"
6.9772463,1.6842723,H05B7,Heating by electric discharge  (plasma torches ...,Heating by electric discharge  (plasma torches H05H
3.9102101,-1.5315417,C07C63,Compounds having carboxyl groups bound to carbo...,"Compounds having carboxyl groups bound to carbon atoms of six-membered aromatic rings[1,2,2006.01]"
11.971129,-2.0121348,A43B13,"Soles; Sole-and-heel integral units [1,2006.01]","Soles; Sole-and-heel integral units [1,2006.01]"
12.921673,5.2658324,G01R13,Arrangements for displaying electric variables ...,"Arrangements for displaying electric variables or waveforms[1,4,2006.01]"
9.049195,8.349633,F04B15,"Pumps adapted to handle specific fluids, e.g. b...","Pumps adapted to handle specific fluids, e.g. by selection of specific materials for pumps or pump parts[1,2006.01]"
12.333516,3.6329494,B60R1,,
4.4132137,2.161347,B41M1,"Inking and printing with a printer's forme[1,20...","Inking and printing with a printer's forme[1,2006.01]"
10.729096,5.9964786,B62J45,Electrical equipment arrangements specially ada...,"Electrical equipment arrangements specially adaptedfor use as accessories on cycles, not otherwise provided for[2020.01]"
10.80805,1.0742098,A46D1,Bristles; Selection of materials for bristles  ...,"Bristles; Selection of materials for bristles  (making artificial bristles D01D, D01F) [1,2006.01]"
9.016735,2.2620142,B65D41,"Caps, e.g. crown caps or crown seals, i.e. memb...","Caps, e.g. crown caps or crown seals, i.e. members having parts arranged for engagement with the external periphery of a neck or wall defining a pouring opening or discharge aperture; Protective cap-like covers for closure members, e.g. decorative covers of metal foil or paper  (B65D"
6.0465817,5.132738,H01L23,Details of semiconductor or other solid state d...,Details of semiconductor or other solid state devices  (H01L
14.145636,6.704341,H03K7,Modulating pulses with a continuously-variable ...,"Modulating pulses with a continuously-variable modulating signal[1,2006.01]"
11.162389,4.8480077,B66B3,Applications of devices for indicating or signa...,"Applications of devices for indicating or signalling operating conditions of elevators[1,2006.01]"
9.07012,2.670393,A47J47,"Kitchen containers, stands or the like, not pro...","Kitchen containers, stands or the like, not provided for in other groups of this subclass; Cutting-boards, e.g. for bread[1,2006.01]"
5.9988303,5.0160227,H10K59,"Integrated devices, or assemblies of multiple d...","Integrated devices, or assemblies of multiple devices, comprising at least one organic light-emitting element covered by group H10K"
2.9340723,-1.9597187,C07D307,Heterocyclic compounds containing five-membered...,"Heterocyclic compounds containing five-membered rings having one oxygen atom as the only ring heteroatom[2,2006.01]"
12.773406,7.1475554,B60L1,SAFETY ARRANGEMENTS,SAFETY ARRANGEMENTS
5.8959785,6.379976,H05B3,"Ohmic-resistance heating [1,2006.01]","Ohmic-resistance heating [1,2006.01]"
12.544741,3.9612508,G16H20,,
5.41314,2.2111886,C03C1,Ingredients generally applicable to manufacture...,"Ingredients generally applicable to manufacture of glasses, glazes or vitreous enamels [1,2006.01]"
4.881619,-0.95100117,C10G65,Treatment of hydrocarbon oils by two or more hy...,"Treatment of hydrocarbon oils by two or more hydrotreatment processes only [3,2006.01]"
