x,y,code,name,name_full
9.404037,0.8967187,B41J2,Typewriters or selective printing mechanisms ch...,"Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed  (mounting, arrangement or disposition of types or dies B41J"
15.263081,1.2630588,E05B13,Devices preventing the key or the handle or bot...,"Devices preventing the key or the handle or both from being used[1,2006.01]IPC (2023.01), Section E 1E05B"
13.375651,4.0765023,G06F111,Details relating to CAD techniques [2020.01],Details relating to CAD techniques [2020.01]
3.4817395,-1.9501262,C07C319,"Preparation of thiols, sulfides, hydropolysulfi...","Preparation of thiols, sulfides, hydropolysulfides or polysulfides[5,2006.01]"
11.421307,4.135397,A63B24,Electric or electronic controls for exercising ...,Electric or electronic controls for exercising apparatus of groups A63B
14.139938,5.72654,H04R3,Circuits for transducers  (arrangements for pro...,Circuits for transducers  (arrangements for producing areverberation or echo sound G10K
15.310371,1.2163066,E05C3,Fastening devices with bolts moving pivotally o...,Fastening devices with bolts moving pivotally or rotatively (devices released automatically by pull or pressure on the wing E05C
5.9577923,-3.1555843,C05G3,Mixtures of one or more fertilisers with additi...,"Mixtures of one or more fertilisers with additives not having a specifically fertilising activity[1,2006.01,2020.01]"
-0.62295467,6.0821576,C10N40,Specified use or application for which the lubr...,"Specified use or application for which the lubricatingcomposition is intended [4,2006.01]"
4.19985,2.8987863,D21H19,Coated paper (coated fibreboard D21J,Coated paper (coated fibreboard D21J
10.015994,1.9220351,A61J3,Devices or methods specially adapted for bringi...,"Devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms (chemical aspects, see the relevantclasses)[1,2006.01]"
7.371485,5.6293764,H01R12,Structural associations of a plurality of mutua...,"Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCB], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures (printed connections to, or between, printed circuits H05K"
12.391641,3.9903758,A61B7,"Instruments for auscultation [1,2006.01]","Instruments for auscultation [1,2006.01]"
14.978127,1.4843466,E05F5,"Braking devices, e.g. checks; Stops; Buffers  (...","Braking devices, e.g. checks; Stops; Buffers  (construction of pneumatic or liquid braking devices E05F"
3.3339322,2.183805,C08L81,Compositions of macromolecular compounds obtain...,"Compositions of macromolecular compounds obtained by reactions forming in the main chain of the macromolecule a linkage containing sulfur with or without nitrogen, oxygen, or carbon only; Compositions of polysulfones; Compositions of derivatives of such polymers [2,2006.01]"
4.094077,3.2888975,D06M16,and indexed in group D06M,and indexed in group D06M
3.9948065,2.878836,D21B1,,
9.460741,3.900449,H05K5,"Casings, cabinets or drawers for electric appar...","Casings, cabinets or drawers for electric apparatus[1,2006.01]"
1.9761895,2.2253592,B60C1,"takes precedence)[1,2,2006.01]","takes precedence)[1,2,2006.01]"
10.648858,5.0230427,B25J17,"Joints[1,2006.01]","Joints[1,2006.01]"
10.174353,4.540401,A61G3,Ambulance aspects of vehicles; Vehicles with sp...,"Ambulance aspects of vehicles; Vehicles with special provisions for transporting patients or disabled persons, or their personal conveyances, e.g. for facilitating access of, or for loading, wheelchairs[1,5,2006.01]"
11.982916,-2.0230148,A43B13,"Soles; Sole-and-heel integral units [1,2006.01]","Soles; Sole-and-heel integral units [1,2006.01]"
12.200465,3.697064,B60R1,,
4.3826156,2.150695,B41M1,"Inking and printing with a printer's forme[1,20...","Inking and printing with a printer's forme[1,2006.01]"
10.724042,5.933496,B62J45,Electrical equipment arrangements specially ada...,"Electrical equipment arrangements specially adaptedfor use as accessories on cycles, not otherwise provided for[2020.01]"
8.983041,2.2927306,B65D41,"Caps, e.g. crown caps or crown seals, i.e. memb...","Caps, e.g. crown caps or crown seals, i.e. members having parts arranged for engagement with the external periphery of a neck or wall defining a pouring opening or discharge aperture; Protective cap-like covers for closure members, e.g. decorative covers of metal foil or paper  (B65D"
6.046544,5.254027,H01L23,Details of semiconductor or other solid state d...,Details of semiconductor or other solid state devices  (H01L
12.999992,2.5995574,G02B25,"Eyepieces; Magnifying glasses [1,2006.01]","Eyepieces; Magnifying glasses [1,2006.01]"
14.068039,6.831782,H03K7,Modulating pulses with a continuously-variable ...,"Modulating pulses with a continuously-variable modulating signal[1,2006.01]"
